oa_code_2021,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_94,age_95_99,age_100_plus
S00147559,10,14,17,13,6,7,13,9,9,1,6,6,14,8,5,1,3,1,1,0,0
S00147560,9,10,15,10,4,2,13,10,6,3,6,4,6,4,2,4,0,0,0,0,0
S00147561,4,1,2,3,4,10,1,2,4,4,4,10,12,6,3,3,3,1,0,0,0
S00147562,8,20,16,13,13,4,17,10,7,11,9,8,5,2,4,2,3,0,0,0,0
S00147563,2,5,5,2,7,7,5,4,4,4,8,12,17,3,2,5,2,5,0,0,0
S00147564,3,13,10,8,1,6,12,10,12,10,13,9,6,1,2,2,0,1,0,0,0
S00147565,1,5,0,6,4,1,1,5,5,5,10,2,7,13,11,7,1,0,0,0,0
S00147566,3,8,7,7,4,4,3,5,10,7,6,8,8,3,6,9,15,3,1,0,0
S00147567,2,2,5,4,2,0,4,4,3,1,2,4,7,6,10,7,10,4,2,0,0
S00147568,9,3,2,2,4,4,0,2,9,5,6,9,10,11,8,5,12,5,0,0,0
S00147569,4,4,1,2,5,5,5,4,1,6,4,4,4,3,8,9,3,3,0,0,0
S00147570,6,14,5,2,3,4,4,10,8,5,8,13,5,10,4,3,1,2,1,0,0
S00147571,1,7,7,7,10,7,1,5,9,6,12,9,8,3,3,6,2,2,1,0,0
S00147572,8,7,7,10,9,8,13,13,13,8,15,12,12,14,7,0,1,4,0,0,0
S00147573,6,6,13,6,4,9,6,8,4,9,9,12,4,6,9,6,8,1,0,0,0
S00147574,6,2,11,4,5,5,5,1,4,4,12,10,5,2,6,0,1,0,0,0,0
S00147575,7,3,10,6,9,10,6,8,4,17,3,8,11,9,3,2,0,0,3,0,0
S00147576,8,4,6,4,11,3,11,7,4,4,9,0,4,7,4,0,0,0,0,0,0
S00147577,5,5,3,1,5,5,2,7,11,4,3,5,6,9,13,4,1,2,0,0,0
S00147578,8,9,6,2,6,15,17,5,9,7,7,8,7,0,2,0,0,1,0,0,0
S00147579,7,3,5,5,2,7,10,3,10,8,5,3,10,3,3,8,1,0,0,0,0
S00147580,5,15,12,6,9,4,9,8,4,3,6,5,9,5,7,2,0,0,0,0,0
S00147581,8,11,22,14,2,1,10,15,15,10,3,2,0,0,1,0,0,0,0,0,0
S00147582,1,1,4,5,5,6,8,11,1,1,6,5,6,2,5,4,3,4,0,0,0
S00147583,5,11,11,8,8,9,3,9,9,9,14,9,9,6,0,0,1,0,0,0,0
S00147584,2,6,4,10,5,2,9,3,8,5,14,17,3,7,0,3,4,0,0,0,0
S00147585,7,7,10,2,5,8,5,2,1,1,1,4,7,2,3,1,2,0,0,0,0
S00147586,4,19,16,18,9,0,3,6,18,22,12,10,6,5,0,0,0,0,0,0,0
S00147587,5,20,15,4,2,4,10,4,4,2,7,3,2,4,4,2,0,0,0,0,0
S00147588,13,13,15,11,9,9,17,14,20,7,4,2,6,7,3,1,0,0,0,0,0
S00147589,14,12,9,2,5,8,21,10,6,7,4,11,2,1,0,0,0,0,1,0,0
S00147590,5,6,11,11,1,6,6,6,5,5,9,9,4,2,4,0,1,1,0,0,0
S00147591,7,5,1,4,4,6,7,7,4,0,5,7,9,5,3,5,5,0,2,0,0
S00147592,1,4,4,4,5,3,8,2,6,2,13,11,5,15,8,3,9,1,0,0,0
S00147593,4,1,0,1,4,4,3,6,2,2,6,2,7,14,7,8,7,1,1,2,0
S00147594,6,6,5,7,5,2,7,13,9,2,4,10,20,14,12,20,11,0,1,0,0
S00147595,16,16,14,10,20,16,15,7,9,10,3,7,1,3,2,2,0,0,0,0,0
S00147596,12,11,12,5,7,21,16,16,3,10,9,4,7,5,3,8,3,3,2,1,0
S00147597,4,6,8,9,12,7,8,8,16,8,14,14,2,7,6,8,10,3,0,0,0
S00147598,7,9,9,4,2,2,12,11,6,4,4,7,5,8,10,1,1,1,0,0,0
S00147599,0,4,10,2,5,7,3,3,5,4,13,6,3,5,0,5,1,0,0,0,0
S00147600,1,1,4,7,0,2,3,1,7,9,8,5,1,9,3,3,2,0,0,0,0
S00147601,3,8,14,14,8,1,11,7,7,18,15,7,2,4,2,5,2,0,0,0,0
S00147602,6,6,8,13,3,2,13,5,11,16,10,15,13,3,4,0,0,0,0,0,0
S00147603,2,0,3,1,0,1,3,2,5,2,2,10,4,15,9,2,9,8,2,0,0
S00147604,3,3,4,6,3,1,1,6,3,2,9,6,3,1,15,6,8,1,1,0,0
S00147605,2,3,6,5,4,5,3,2,11,6,7,1,7,9,3,4,2,2,0,0,0
S00147606,2,1,2,6,7,4,7,3,3,8,1,9,11,13,11,9,9,6,2,0,0
S00147607,3,6,2,7,11,15,1,1,5,6,16,13,11,8,4,2,0,0,0,0,0
S00147608,16,12,17,6,1,16,6,13,7,15,7,7,4,8,2,1,0,0,0,0,0
S00147609,3,0,0,2,2,3,1,6,2,5,8,11,5,7,6,5,3,0,0,0,0
S00147610,5,7,15,6,9,5,4,12,4,3,9,9,5,2,2,0,0,0,0,0,0
S00147611,4,11,23,14,5,2,0,6,14,20,14,15,21,8,0,4,1,0,0,0,0
S00147612,2,2,1,0,1,12,7,5,3,5,5,3,13,4,5,1,0,0,0,0,0
S00147613,5,5,6,4,2,2,5,6,6,2,10,7,8,6,8,1,2,4,0,2,0
S00147614,5,8,9,3,1,13,10,9,2,5,5,9,9,1,6,10,2,0,0,0,0
S00147615,3,10,11,9,1,3,6,7,12,11,6,7,15,7,2,6,5,1,0,0,0
S00147616,2,5,3,2,1,3,1,4,5,9,7,6,6,16,10,4,6,6,0,0,0
S00147617,3,1,1,0,2,0,3,4,2,2,4,2,4,8,18,4,2,6,0,0,0
S00147618,9,2,4,3,3,4,9,10,4,2,5,2,7,1,6,6,5,0,0,0,0
S00147619,16,16,19,14,12,14,19,21,25,6,7,25,7,2,11,1,3,2,2,0,0
S00147620,11,12,7,3,5,4,11,9,5,4,9,9,2,0,3,4,3,1,0,0,0
S00147621,5,0,3,1,0,11,4,6,8,1,10,7,5,13,9,2,4,0,2,1,0
S00147622,4,10,10,3,3,9,13,11,10,5,7,16,15,9,4,10,3,1,0,0,0
S00147623,5,2,5,4,3,2,6,5,4,6,12,7,8,11,10,15,6,1,2,0,0
S00147624,2,2,7,5,7,2,3,12,6,2,8,7,15,6,6,5,8,0,0,0,0
S00147625,15,11,4,8,5,11,19,10,9,2,1,8,7,5,1,1,0,1,0,0,0
S00147626,0,1,1,1,4,2,4,1,1,2,8,14,19,10,17,14,10,12,5,2,0
S00147627,1,6,5,5,1,3,7,3,7,7,7,7,4,5,8,2,2,1,0,0,0
S00147628,15,10,18,15,7,7,19,17,16,7,22,7,2,5,0,4,2,2,0,0,0
S00147629,0,0,3,8,5,8,5,7,3,4,3,15,16,14,3,8,3,2,3,2,0
S00147630,6,5,12,20,11,14,18,14,5,19,18,12,20,5,1,4,3,0,0,0,0
S00147631,12,5,0,7,5,7,10,4,2,6,7,6,10,8,4,5,2,5,1,0,0
S00147632,4,9,4,2,7,11,11,4,7,4,8,18,7,12,10,4,5,5,2,0,0
S00147633,4,4,7,3,4,5,7,9,11,3,11,10,8,3,8,9,1,2,2,0,0
S00147634,6,18,14,11,17,6,7,9,18,7,9,13,10,3,6,4,0,1,2,0,0
S00147635,11,6,6,3,8,6,11,12,10,4,7,7,6,1,3,1,1,2,0,0,0
S00147636,11,25,27,13,10,6,10,13,22,36,11,15,9,5,3,0,0,2,0,0,0
S00147637,5,6,6,3,3,4,5,4,0,4,9,6,8,3,3,2,4,1,0,0,0
S00147638,5,0,4,6,3,3,6,5,11,11,11,8,15,1,15,6,1,1,0,0,0
S00147639,8,8,18,11,1,10,5,2,15,10,17,4,7,2,1,1,0,1,0,0,0
S00147640,7,3,9,5,4,2,7,12,4,2,6,9,11,13,6,1,2,1,1,0,0
S00147641,3,7,8,2,4,4,11,4,8,8,7,4,4,4,7,7,16,20,11,3,0
S00147642,3,8,5,10,7,4,6,2,2,2,14,4,4,9,3,2,1,2,0,0,0
S00147643,5,2,11,8,6,0,2,5,11,12,12,9,5,10,3,6,3,1,2,0,0
S00147644,8,9,7,7,6,9,17,8,6,14,9,4,6,1,2,2,0,0,0,0,0
S00147645,10,11,16,10,5,8,12,16,14,7,4,3,3,7,1,2,1,0,0,0,0
S00147646,6,6,4,7,0,4,6,4,6,6,8,9,5,7,5,4,3,2,2,0,0
S00147647,15,36,41,21,13,4,14,21,40,26,22,14,8,0,2,3,2,0,0,0,0
S00147648,3,7,6,3,2,0,5,3,6,9,2,4,9,12,8,15,12,20,14,6,0
S00147649,9,14,17,1,8,11,12,19,16,9,10,10,5,2,2,7,0,0,0,0,0
S00147650,7,5,2,1,1,4,6,13,9,4,4,8,3,1,1,0,2,0,0,0,0
S00147651,6,2,18,10,5,5,9,16,6,9,1,9,2,4,7,2,1,0,0,0,0
S00147652,5,13,17,21,6,3,2,6,15,16,15,10,6,8,2,2,0,0,0,0,0
S00147653,8,3,1,6,3,2,5,6,8,9,10,2,9,6,4,7,5,5,1,1,0
S00147654,4,6,7,9,10,5,1,4,5,7,13,10,15,7,6,6,9,3,1,0,0
S00147655,8,14,22,5,4,7,7,9,6,16,7,7,4,8,1,2,1,2,0,0,0
S00147656,9,14,13,13,8,3,8,16,14,12,20,9,8,3,1,4,0,0,0,0,0
S00147657,3,2,5,4,6,10,3,1,5,5,5,6,16,10,8,8,4,2,0,1,0
S00147658,3,1,4,9,8,3,5,7,8,5,17,7,14,21,4,8,17,7,4,0,0
S00147659,10,17,27,22,11,10,8,15,22,20,28,16,9,4,2,0,1,0,2,0,0
S00147660,4,15,14,8,3,11,15,13,10,8,7,19,17,10,6,5,3,0,0,0,0
S00147661,2,9,6,4,5,6,7,4,7,6,6,10,10,5,4,6,5,4,1,1,0
S00147662,5,11,4,13,0,6,6,11,11,9,5,11,5,7,6,12,8,5,3,0,0
S00147663,4,15,20,19,8,1,5,5,22,16,17,8,7,3,3,3,0,0,0,0,0
S00147664,6,5,3,3,3,6,6,2,7,3,7,4,12,11,6,3,0,0,0,0,0
S00147665,6,7,15,7,4,3,7,6,8,8,9,5,8,7,3,5,1,0,0,0,0
S00147666,6,10,16,13,5,2,10,18,7,2,4,5,5,2,3,0,1,0,0,0,0
S00147667,9,28,25,16,6,0,8,15,20,24,15,15,4,3,2,0,2,0,0,0,2
S00147668,2,1,1,3,2,6,1,3,5,1,4,5,3,3,3,7,1,2,1,0,0
S00147669,4,6,4,4,3,1,7,3,2,3,11,3,1,7,1,3,0,1,0,0,0
S00147670,5,14,12,12,4,2,2,10,12,9,8,5,3,4,5,0,3,2,1,0,0
S00147671,0,0,0,43,19,50,17,5,3,3,4,5,3,9,12,10,9,4,1,0,0
S00147672,12,8,14,9,2,2,11,10,8,3,4,4,8,4,2,3,0,2,0,0,0
S00147673,2,8,12,24,12,10,1,3,4,12,22,9,10,8,6,6,0,2,1,0,0
S00147674,17,14,14,12,4,4,14,23,13,10,6,9,3,1,2,1,0,0,0,0,0
S00147675,13,6,5,2,1,4,7,11,3,1,5,3,8,8,2,11,6,4,2,0,0
S00147676,3,11,14,14,6,2,4,8,11,13,18,11,11,7,1,0,1,0,0,0,0
S00147677,2,4,2,11,5,2,6,5,1,6,6,5,14,19,13,6,11,2,0,0,0
S00147678,4,7,9,10,5,5,12,8,5,5,14,16,4,6,8,5,1,3,2,0,0
S00147679,3,2,3,2,0,4,3,2,3,2,10,9,5,8,6,7,1,2,0,2,0
S00147680,2,1,12,8,9,9,3,3,8,7,14,13,16,9,5,7,5,3,0,0,0
S00147681,11,11,12,14,1,5,7,10,4,8,1,5,5,4,3,6,2,2,0,0,0
S00147682,7,14,10,4,8,7,10,8,11,14,11,8,9,3,0,3,0,0,0,0,0
S00147683,5,2,7,7,8,5,8,3,3,7,13,15,18,8,11,5,2,1,1,0,0
S00147684,3,9,7,9,7,11,7,10,5,12,6,12,11,7,1,3,3,2,1,0,0
S00147685,9,5,6,10,6,6,4,3,6,10,2,6,3,0,6,0,0,0,0,0,0
S00147686,9,18,17,17,4,9,17,7,10,4,12,12,5,4,1,5,0,0,0,0,0
S00147687,7,10,13,13,5,4,20,11,7,13,9,7,2,7,10,3,0,0,0,0,0
S00147688,3,4,0,5,1,7,3,3,8,5,8,7,4,4,3,4,2,1,0,0,0
S00147689,2,1,1,2,8,1,6,2,3,3,5,5,8,3,4,1,2,5,2,0,1
S00147690,3,5,9,6,7,6,5,5,11,4,4,9,2,1,4,7,4,1,0,0,0
S00147691,8,9,10,11,10,14,16,7,9,12,15,12,5,9,10,2,0,2,1,0,0
S00147692,2,4,4,3,2,7,8,7,4,6,4,2,4,0,8,8,2,0,0,0,0
S00147693,7,1,1,2,4,5,7,11,14,1,2,10,11,0,3,0,0,0,1,0,0
S00147694,4,6,10,4,6,7,3,10,11,13,12,8,8,4,3,11,1,2,1,0,0
S00147695,10,11,10,9,2,7,10,4,11,16,15,15,6,3,1,1,0,1,0,0,0
S00147696,6,28,18,10,9,7,10,12,9,6,8,11,17,8,3,2,1,0,0,0,0
S00147697,10,4,1,5,6,13,9,1,7,0,7,12,6,3,10,7,3,6,0,0,0
S00147698,5,1,5,7,6,8,7,6,7,6,16,22,12,9,10,9,6,0,0,0,0
S00147699,0,0,4,2,5,2,5,7,6,3,7,9,3,3,2,2,1,0,0,1,0
S00147700,12,11,5,3,17,12,19,23,8,14,6,11,17,11,13,4,4,2,0,0,0
S00147701,2,4,9,19,4,8,6,11,11,12,9,7,10,2,6,2,0,2,0,0,0
S00147702,5,6,4,2,5,1,13,6,6,3,2,5,12,9,3,7,8,6,1,0,0
S00147703,12,4,8,11,7,3,8,10,8,7,4,11,2,0,10,2,1,1,0,0,0
S00147704,7,13,1,4,6,8,3,11,1,5,1,3,5,0,0,0,1,0,0,0,0
S00147705,5,8,13,8,3,5,13,8,3,2,6,8,9,8,9,2,0,0,0,0,0
S00147706,8,2,4,6,1,8,4,6,7,6,2,2,3,7,3,0,0,0,0,0,0
S00147707,9,5,10,3,3,13,5,9,2,3,2,6,4,5,8,3,2,2,0,0,0
S00147708,0,1,0,4,2,3,3,1,4,4,5,7,6,4,5,5,3,3,0,0,0
S00147709,3,7,3,2,5,1,8,7,4,4,6,23,11,12,10,7,4,0,0,0,0
S00147710,0,3,2,6,4,3,0,0,3,6,10,13,6,5,10,4,1,0,1,0,0
S00147711,3,2,6,5,1,1,5,7,8,6,3,4,2,8,2,6,2,2,1,0,0
S00147712,9,12,9,12,7,1,9,10,17,11,11,12,7,2,1,2,0,0,0,0,0
S00147713,4,5,1,0,6,6,9,5,3,6,1,12,8,5,6,1,1,2,0,0,0
S00147714,12,13,5,5,8,21,16,15,6,7,9,12,7,6,4,4,0,0,0,0,0
S00147715,2,15,12,5,4,1,4,7,9,3,6,12,6,4,4,1,4,0,3,0,0
S00147716,0,1,5,10,5,1,3,4,7,10,2,5,7,5,3,1,6,2,1,0,0
S00147717,8,2,1,1,5,3,7,9,4,1,5,8,13,2,2,6,5,3,0,0,0
S00147718,3,2,5,2,6,8,7,6,4,9,4,9,3,6,10,5,2,0,0,1,0
S00147719,4,2,4,8,6,2,3,6,2,14,11,8,10,18,11,4,1,2,0,0,0
S00147720,12,4,11,18,15,8,5,9,16,8,11,7,7,3,1,0,1,0,0,0,0
S00147721,3,1,0,2,0,0,2,1,0,1,4,10,6,9,7,13,2,0,2,2,0
S00147722,8,11,14,13,11,11,7,17,11,2,8,10,10,7,4,4,0,2,0,0,0
S00147723,8,4,9,5,5,0,6,7,13,4,8,13,18,4,5,3,5,6,0,0,0
S00147724,2,6,3,2,6,14,7,10,5,3,5,10,6,6,1,6,3,3,0,0,0
S00147725,12,15,17,12,8,8,11,9,13,10,15,21,16,8,3,4,0,0,0,0,0
S00147726,0,1,4,7,1,2,6,3,9,6,10,6,9,7,12,6,4,2,0,0,0
S00147727,12,12,7,1,7,6,3,10,13,8,8,6,7,2,10,4,5,0,0,0,0
S00147728,0,1,0,0,2,5,4,7,0,4,5,7,8,11,19,13,5,4,3,2,0
S00147729,7,2,11,4,3,8,16,7,10,2,8,4,2,4,2,0,1,2,0,0,0
S00147730,7,6,14,6,4,2,9,7,5,5,5,3,1,4,3,3,1,0,0,0,0
S00147731,5,8,16,7,4,5,13,11,9,10,5,6,6,7,5,5,3,2,0,0,0
S00147732,7,11,7,8,9,15,14,11,10,9,14,8,5,6,4,9,2,7,1,1,0
S00147733,14,29,27,7,10,20,14,18,17,11,10,13,12,8,6,0,5,1,0,0,0
S00147734,5,10,11,14,3,8,5,7,11,8,13,10,13,5,2,1,0,0,0,0,0
S00147735,2,8,8,9,10,5,3,14,8,8,13,13,6,4,1,2,0,0,0,0,0
S00147736,3,5,7,4,6,8,9,4,4,4,5,5,19,1,4,0,0,0,0,0,0
S00147737,3,9,19,8,15,5,10,6,10,13,16,29,24,10,6,9,1,0,0,0,0
S00147738,5,2,5,5,8,4,1,3,3,1,3,5,9,4,9,3,5,9,1,0,0
S00147739,4,9,12,13,12,6,14,15,7,8,11,3,12,10,0,2,1,1,0,0,0
S00147740,5,7,12,4,1,8,7,8,10,9,12,8,10,13,10,5,4,5,1,0,0
S00147741,4,4,6,0,7,8,5,11,4,4,5,10,6,6,2,1,2,0,0,0,0
S00147742,1,6,13,11,9,3,1,7,2,7,5,7,6,4,4,0,1,0,2,0,0
S00147743,2,2,1,6,1,5,1,10,3,3,3,7,6,4,0,3,0,0,0,0,0
S00147744,3,9,2,7,4,7,3,1,0,8,5,3,2,3,4,3,0,1,0,0,0
S00147745,6,8,7,15,9,4,7,3,5,12,7,3,9,4,10,4,1,4,2,0,0
S00147746,19,6,13,4,6,11,20,13,10,6,9,10,20,12,6,5,2,2,0,2,0
S00147747,4,3,5,5,8,3,1,5,4,4,8,12,10,9,4,2,1,5,0,0,0
S00147748,5,7,2,2,3,5,1,10,0,3,6,11,10,13,11,2,2,3,1,0,0
S00147749,7,1,5,5,1,4,8,6,3,10,4,4,10,5,9,12,5,4,2,0,0
S00147750,5,4,0,1,1,7,5,5,1,6,8,9,5,1,12,8,3,2,1,0,0
S00147751,1,1,3,5,5,2,2,3,5,4,7,1,3,7,11,7,1,0,1,1,0
S00147752,3,3,3,3,8,7,10,5,8,7,5,10,11,4,4,3,1,0,0,0,0
S00147753,6,5,7,7,6,6,8,5,6,6,10,12,10,1,15,2,1,3,1,0,0
S00147754,10,9,8,7,8,8,9,11,9,10,7,6,14,9,6,2,0,2,0,0,0
S00147755,3,1,2,0,2,3,3,2,7,1,1,8,4,10,7,6,4,2,2,0,0
S00147756,5,5,13,9,10,6,3,5,4,4,14,6,3,5,2,0,0,0,0,0,0
S00147757,4,4,11,7,3,3,12,9,3,6,10,13,15,7,3,2,5,1,0,0,0
S00147758,8,2,3,0,4,7,6,4,3,1,5,8,6,2,3,4,5,7,1,1,0
S00147759,3,8,13,12,10,6,7,9,5,9,16,7,12,4,4,7,3,2,0,0,0
S00147760,3,5,5,1,1,3,6,0,1,5,4,8,4,1,6,4,8,4,3,0,0
S00147761,10,7,10,1,6,7,12,9,12,6,1,2,4,5,3,4,1,0,0,0,0
S00147762,3,2,3,4,2,3,4,7,6,3,5,7,11,8,9,14,2,3,2,0,0
S00147763,12,10,10,6,6,9,16,11,11,4,10,11,9,5,2,0,1,1,0,0,0
S00147764,13,6,6,2,6,0,8,6,7,0,3,7,12,16,11,10,3,3,2,1,0
S00147765,3,6,7,7,7,1,8,0,4,1,5,15,11,11,11,10,15,3,0,1,0
S00147766,1,2,4,2,2,1,1,1,3,2,0,2,10,11,12,5,13,5,3,1,0
S00147767,4,6,14,6,3,8,2,9,5,8,12,9,8,12,13,11,3,2,0,0,0
S00147768,3,3,5,11,2,2,7,6,5,11,6,10,12,5,10,19,5,1,0,0,0
S00147769,16,21,15,11,10,7,7,19,5,8,7,1,2,1,0,0,0,0,0,0,0
S00147770,11,13,12,8,16,24,11,28,24,8,8,3,6,3,1,4,0,0,0,0,0
S00147771,4,4,7,2,4,0,4,5,4,5,1,2,6,5,9,7,6,1,1,0,0
S00147772,2,4,3,6,2,1,5,4,2,4,0,6,8,8,1,0,2,3,0,0,0
S00147773,8,11,6,4,5,6,7,4,2,4,5,6,4,9,2,3,2,0,0,0,0
S00147774,4,7,2,3,1,6,9,10,7,3,3,6,6,14,3,5,1,1,2,0,0
S00147775,6,7,3,6,8,7,6,10,6,12,5,15,6,12,11,1,2,1,2,0,0
S00147776,0,3,7,13,5,12,6,6,4,6,8,13,16,6,4,2,1,7,1,2,0
S00147777,2,8,6,1,2,3,1,8,9,8,5,9,9,7,9,14,4,9,2,0,0
S00147778,5,8,12,7,2,3,7,9,5,6,9,4,7,1,5,3,6,2,3,0,0
S00147779,1,0,0,0,0,1,3,0,0,0,1,2,6,9,6,17,15,11,2,1,0
S00147780,3,19,15,9,6,7,10,15,6,5,9,3,5,4,4,2,3,0,0,0,0
S00147781,7,13,9,3,6,12,10,1,4,8,12,4,4,3,3,7,2,0,0,0,0
S00147782,3,14,7,11,8,5,4,12,9,8,13,2,3,6,7,0,4,1,0,0,0
S00147783,2,6,9,10,21,11,17,13,7,7,10,14,13,12,6,1,4,3,1,0,0
S00147784,17,16,6,3,1,6,10,25,5,8,7,3,6,4,1,1,0,0,0,0,0
S00147785,10,13,11,13,12,7,11,8,12,3,15,11,15,9,13,6,8,3,1,0,0
S00147786,7,0,2,2,5,8,7,17,5,4,7,7,4,1,1,0,0,1,0,0,0
S00147787,7,15,7,4,5,13,13,12,9,6,6,4,8,4,0,0,2,1,0,0,0
S00147788,5,12,10,10,4,5,8,8,6,5,6,6,7,1,0,0,0,0,0,0,0
S00147789,6,2,0,3,11,12,7,7,5,1,12,3,2,7,3,3,0,0,0,0,0
S00147790,8,15,6,8,11,14,12,6,5,15,13,11,13,5,1,0,1,1,0,0,0
S00147791,8,5,8,5,15,22,5,4,1,7,6,4,1,4,1,0,0,1,0,0,0
S00147792,1,3,2,4,1,9,2,2,5,5,2,9,9,9,20,3,7,4,2,1,0
S00147793,14,6,6,8,3,21,18,13,4,5,2,6,1,1,2,1,0,0,0,0,0
S00147794,5,7,3,5,2,9,4,6,12,5,11,4,8,6,4,12,2,1,1,0,0
S00147795,2,8,6,5,0,3,6,2,5,7,2,11,12,15,12,14,1,5,2,0,0
S00147796,1,2,6,3,2,8,1,1,13,2,5,7,4,9,5,7,1,5,1,1,0
S00147797,4,12,6,11,11,6,9,11,3,12,10,9,7,13,6,1,2,1,0,0,0
S00147798,6,4,8,1,2,4,5,8,8,3,13,7,8,5,3,8,0,0,0,0,0
S00147799,3,2,6,3,3,0,6,1,1,2,3,12,10,3,3,8,8,3,0,0,0
S00147800,3,16,8,6,14,17,16,7,5,9,11,9,3,0,5,0,1,2,0,0,0
S00147801,17,12,14,9,1,12,10,11,8,9,7,17,8,6,7,0,1,3,1,0,0
S00147802,7,0,4,0,7,11,11,4,5,4,8,4,7,13,3,7,1,4,2,0,0
S00147803,4,7,2,7,6,1,4,8,13,6,3,4,7,9,4,0,6,1,0,0,0
S00147804,7,5,7,3,3,0,4,12,7,6,5,2,7,5,11,8,8,4,2,0,0
S00147805,2,2,2,4,9,5,1,2,7,6,4,10,8,5,5,4,0,4,1,0,0
S00147806,4,7,4,6,1,8,7,5,5,6,5,12,8,16,12,7,3,6,0,0,0
S00147807,2,3,1,3,1,5,0,1,2,0,7,7,7,5,6,4,5,1,0,0,0
S00147808,13,7,12,3,5,6,7,14,2,4,9,10,6,6,0,3,1,0,0,0,0
S00147809,7,9,22,7,9,9,16,16,9,8,9,5,4,4,5,3,2,5,0,0,0
S00147810,9,3,0,1,6,10,6,4,0,2,4,6,8,6,8,5,8,4,2,0,0
S00147811,5,8,8,5,6,7,4,3,7,8,5,3,6,2,3,4,3,8,8,0,0
S00147812,13,5,9,9,8,3,3,9,8,12,17,10,12,13,9,12,12,4,4,0,0
S00147813,7,11,13,3,2,7,10,11,2,5,8,9,7,5,5,4,3,1,1,0,0
S00147814,2,0,2,2,4,4,7,5,3,4,1,12,9,7,11,7,5,0,3,0,0
S00147815,2,5,6,7,14,9,7,11,4,3,13,12,12,5,8,11,4,3,1,0,0
S00147816,8,4,8,3,4,6,9,14,10,8,9,13,11,2,4,1,3,2,0,0,0
S00147817,0,0,3,6,5,6,5,2,2,13,3,8,12,11,1,0,0,0,1,0,0
S00147818,4,9,6,1,9,20,12,9,5,7,4,8,6,8,2,3,2,2,0,0,0
S00147819,3,11,3,5,12,15,14,15,4,12,15,5,12,5,1,6,4,5,0,0,0
S00147820,12,11,8,7,8,3,5,4,3,11,2,7,4,14,8,3,7,5,2,1,0
S00147821,8,14,10,12,12,3,12,8,15,6,13,18,13,10,5,7,12,4,0,0,0
S00147822,2,3,1,3,7,9,4,3,2,7,6,6,4,15,8,7,0,2,1,0,0
S00147823,6,4,5,9,3,4,4,5,5,2,1,8,6,5,2,5,3,0,0,0,0
S00147824,5,8,7,8,5,12,12,10,7,4,13,3,2,1,2,1,2,2,0,0,0
S00147825,7,7,12,7,10,13,18,6,17,10,14,9,11,9,10,3,8,3,0,1,0
S00147826,7,3,1,2,8,9,9,1,4,2,9,11,18,15,18,17,10,2,1,0,0
S00147827,1,3,3,0,1,4,4,5,4,6,3,4,1,2,10,6,5,0,1,0,0
S00147828,8,12,18,9,9,3,3,14,16,15,4,10,7,5,9,11,9,4,0,0,0
S00147829,10,9,8,12,11,7,16,13,11,6,12,12,18,11,6,6,5,1,0,0,0
S00147830,2,5,6,6,3,1,2,4,2,5,17,10,10,6,2,4,1,5,1,0,0
S00147831,7,3,2,5,1,4,9,5,5,10,3,10,2,7,1,1,0,0,0,0,0
S00147832,1,0,0,3,7,5,6,3,2,2,4,12,6,8,5,6,4,0,0,0,0
S00147833,0,4,2,7,7,8,4,8,6,13,10,12,3,4,4,3,1,2,0,0,0
S00147834,7,0,0,1,9,22,14,9,8,9,3,8,4,4,4,0,0,0,0,0,0
S00147835,18,11,10,6,0,17,23,23,9,4,8,9,15,2,2,1,0,1,0,0,0
S00147836,3,6,9,9,4,9,4,3,14,5,3,15,4,7,5,11,10,3,0,0,0
S00147837,4,4,7,2,4,7,12,3,10,3,3,3,3,7,3,2,0,0,0,0,0
S00147838,13,10,7,10,9,13,6,17,6,10,7,6,6,2,5,3,0,0,0,0,0
S00147839,2,5,8,4,4,6,6,6,8,5,8,5,10,8,4,6,1,0,0,0,0
S00147840,1,0,0,1,2,7,1,1,1,0,2,9,6,11,8,10,12,1,0,1,0
S00147841,5,15,11,9,4,11,11,8,8,13,8,9,5,10,14,1,0,0,0,0,0
S00147842,7,5,5,4,2,10,13,8,4,9,2,2,2,0,0,2,0,0,0,0,0
S00147843,4,0,0,1,10,7,1,7,1,5,3,6,11,5,2,4,2,0,0,0,0
S00147844,2,5,8,6,2,1,1,8,7,14,10,6,13,14,6,13,9,1,5,1,0
S00147845,2,5,5,10,2,9,4,3,11,11,6,4,5,5,7,8,4,0,0,0,0
S00147846,14,5,1,3,13,9,14,16,6,5,7,4,2,1,5,2,1,0,0,0,0
S00147847,9,6,9,4,7,6,3,8,11,9,7,7,11,7,5,6,1,1,0,0,0
S00147848,0,3,7,6,5,3,3,1,6,6,14,8,17,4,4,4,7,4,3,0,0
S00147849,6,13,10,4,7,15,6,15,17,13,9,6,11,6,7,3,4,3,0,0,0
S00147850,3,2,3,2,1,3,3,3,2,4,5,7,5,6,11,7,2,1,1,0,0
S00147851,2,1,3,9,7,5,5,10,8,6,6,5,11,5,2,1,3,0,0,0,0
S00147852,11,7,2,6,2,1,12,3,2,5,8,9,11,9,7,5,0,2,0,0,0
S00147853,4,3,0,1,5,4,12,7,2,2,9,3,5,10,6,6,3,5,0,1,0
