oa_code_2021,white_total,asian_asian_scottish_or_asian_british_total,african_total,caribbean_or_black_total,other_ethnic_groups_total
S00135749,58,2,2,0,2
S00135750,94,3,1,0,1
S00135751,105,4,11,0,0
S00135752,76,4,2,0,2
S00135753,79,7,4,0,3
S00135754,118,1,0,0,0
S00135755,151,13,0,0,2
S00135756,74,7,1,1,1
S00135757,83,6,16,0,0
S00135758,108,0,0,0,0
S00135759,77,5,0,0,0
S00135760,63,2,0,0,1
S00135761,104,0,10,1,0
S00135762,93,0,7,0,0
S00135763,80,2,0,0,0
S00135764,103,0,0,0,0
S00135765,125,12,3,0,2
S00135766,72,16,7,3,0
S00135767,115,1,13,0,0
S00135768,216,0,0,0,1
S00135769,121,13,0,0,0
S00135770,101,3,5,0,2
S00135771,90,1,16,0,11
S00135772,181,0,1,0,0
S00135773,149,9,6,0,6
S00135774,69,3,5,0,0
S00135775,172,2,3,0,4
S00135776,68,9,12,0,6
S00135777,156,3,0,0,0
S00135778,62,0,7,0,5
S00135779,94,11,1,0,0
S00135780,95,3,4,0,0
S00135781,122,8,5,0,0
S00135782,86,5,0,0,1
S00135783,150,2,2,0,0
S00135784,89,0,0,0,0
S00135785,61,0,6,0,0
S00135786,139,11,9,0,0
S00135787,33,2,23,0,0
S00135788,105,0,0,0,0
S00135789,89,14,0,0,1
S00135790,105,5,3,0,2
S00135791,153,0,11,1,0
S00135792,83,6,13,0,0
S00135793,81,8,9,0,0
S00135794,131,10,1,0,2
S00135795,84,3,4,1,2
S00135796,86,9,12,0,0
S00135797,130,28,27,0,15
S00135798,64,13,0,0,0
S00135799,172,14,5,4,0
S00135800,83,3,18,0,7
S00135801,78,1,0,0,0
S00135802,65,4,5,0,2
S00135803,93,5,1,4,0
S00135804,106,2,0,0,0
S00135805,55,6,5,0,4
S00135806,121,0,4,0,3
S00135807,99,3,2,0,0
S00135808,101,13,2,0,2
S00135809,85,6,7,0,1
S00135810,107,0,10,0,4
S00135811,134,8,11,1,10
S00135812,105,2,2,0,0
S00135813,95,12,3,2,0
S00135814,66,0,4,0,2
S00135815,65,0,0,0,0
S00135816,83,4,5,0,0
S00135817,114,6,0,0,1
S00135818,94,4,3,0,1
S00135819,103,0,9,4,0
S00135820,173,0,9,0,7
S00135821,61,5,1,0,3
S00135822,101,15,12,0,10
S00135823,149,26,4,1,0
S00135824,165,14,0,0,0
S00135825,102,5,0,0,0
S00135826,77,7,4,0,9
S00135827,66,0,0,0,0
S00135828,124,5,6,0,0
S00135829,78,4,0,0,0
S00135830,51,1,15,0,0
S00135831,113,0,0,0,0
S00135832,155,3,8,0,7
S00135833,114,0,4,0,0
S00135834,88,7,1,1,6
S00135835,129,10,6,0,4
S00135836,108,0,0,0,0
S00135837,143,0,0,0,0
S00135838,115,33,7,0,4
S00135839,211,18,16,1,8
S00135840,128,20,16,0,0
S00135841,61,0,0,0,0
S00135842,59,19,4,0,2
S00135843,76,1,0,0,0
S00135844,68,2,0,0,0
S00135845,79,0,0,0,0
S00135846,83,20,5,1,2
S00135847,153,18,29,2,8
S00135848,109,7,0,0,3
S00135849,64,3,2,0,1
S00135850,65,10,4,0,2
S00135851,124,0,1,0,0
S00135852,57,2,6,0,5
S00135853,78,4,0,0,0
S00135854,65,8,0,0,0
S00135855,84,7,4,0,4
S00135856,58,4,5,0,0
S00135857,41,8,6,0,7
S00135858,51,9,1,0,0
S00135859,64,8,3,0,1
S00135860,124,5,5,0,3
S00135861,91,2,4,1,0
S00135862,81,3,0,0,0
S00135863,89,5,1,0,0
S00135864,66,7,2,0,1
S00135865,86,7,0,0,0
S00135866,62,37,6,0,0
S00135867,90,1,9,0,0
S00135868,86,18,0,0,8
S00135869,55,10,0,0,13
S00135870,68,2,8,1,0
S00135871,124,49,10,0,0
S00135872,87,4,0,0,0
S00135873,109,2,10,0,0
S00135874,94,12,0,0,4
S00135875,124,4,1,0,0
S00135876,106,1,0,0,0
S00135877,158,0,0,0,0
S00135878,94,22,11,0,12
S00135879,86,0,0,0,0
S00135880,126,27,17,1,13
S00135881,117,2,0,0,4
S00135882,100,4,0,0,0
S00135883,74,1,0,0,0
S00135884,66,0,5,0,0
S00135885,70,2,2,1,4
S00135886,80,6,0,0,0
S00135887,56,3,5,0,0
S00135888,88,13,4,0,0
S00135889,53,10,7,0,1
S00135890,89,1,0,0,0
S00135891,79,0,0,0,0
S00135892,101,4,5,0,0
S00135893,89,5,8,1,1
S00135894,116,1,0,0,1
S00135895,151,6,4,0,1
S00135896,133,8,2,0,1
S00135897,119,11,14,0,1
S00135898,109,2,3,0,2
S00135899,67,13,8,0,4
S00135900,93,15,6,0,9
S00135901,107,0,0,0,0
S00135902,87,2,0,0,0
S00135903,91,14,2,0,2
S00135904,57,16,4,0,0
S00135905,77,5,0,0,0
S00135906,62,0,2,0,1
S00135907,77,6,3,2,0
S00135908,97,8,1,0,0
S00135909,70,0,0,0,0
S00135910,68,1,5,0,0
S00135911,118,0,3,0,0
S00135912,65,37,5,0,8
S00135913,60,40,6,0,11
S00135914,80,22,13,0,0
S00135915,117,6,1,0,1
S00135916,54,18,8,0,17
S00135917,142,0,4,0,0
S00135918,110,6,0,0,4
S00135919,62,8,11,0,1
S00135920,126,4,0,0,0
S00135921,100,14,5,1,0
S00135922,112,4,15,0,1
S00135923,143,19,35,1,2
S00135924,94,3,1,0,0
S00135925,62,3,13,0,1
S00135926,87,3,7,0,0
S00135927,112,7,2,0,1
S00135928,71,2,9,0,0
S00135929,59,5,1,0,0
S00135930,133,1,4,0,4
S00135931,104,13,0,0,3
S00135932,89,8,4,0,0
S00135933,107,18,5,0,0
S00135934,86,10,7,1,11
S00135935,91,11,0,0,0
S00135936,91,18,8,0,2
S00135937,100,11,5,1,1
S00135938,102,13,0,0,0
S00135939,66,6,0,0,1
S00135940,93,0,0,0,0
S00135941,95,12,0,1,13
S00135942,123,13,1,0,1
S00135943,105,5,0,0,3
S00135944,168,1,0,0,0
S00135945,69,8,1,0,2
S00135946,148,7,1,1,6
S00135947,113,9,6,0,0
S00135948,81,23,18,0,7
S00135949,134,27,4,0,11
S00135950,57,14,2,0,1
S00135951,105,13,8,2,2
S00135952,39,25,6,0,4
S00135953,99,9,1,0,1
S00135954,91,24,23,0,3
S00135955,128,5,0,0,0
S00135956,103,10,4,0,0
S00135957,73,16,13,0,5
S00135958,78,0,0,0,2
S00135959,124,4,0,0,3
S00135960,123,33,6,3,0
S00135961,155,14,7,0,0
S00135962,80,3,13,0,1
S00135963,161,14,0,0,12
S00135964,97,7,0,1,4
S00135965,83,5,10,0,3
S00135966,70,11,0,1,1
S00135967,71,33,0,0,0
S00135968,145,4,6,0,0
S00135969,49,28,3,0,2
S00135970,93,10,0,0,0
S00135971,90,10,8,3,4
S00135972,89,0,2,0,1
S00135973,102,18,0,0,0
S00135974,77,14,0,0,4
S00135975,78,3,0,0,3
S00135976,96,11,0,1,1
S00135977,77,1,0,0,0
S00135978,82,10,12,1,8
S00135979,86,0,2,1,0
S00135980,95,3,8,0,0
S00135981,140,14,0,0,0
S00135982,62,12,4,1,4
S00135983,103,8,4,0,0
S00135984,110,3,0,0,0
S00135985,93,9,15,0,0
S00135986,115,11,0,0,0
S00135987,64,9,0,1,1
S00135988,56,7,0,0,2
S00135989,88,4,0,0,1
S00135990,69,0,0,0,0
S00135991,55,9,2,0,0
S00135992,99,0,0,0,0
S00135993,102,0,3,0,2
S00135994,128,12,21,0,10
S00135995,58,2,0,0,0
S00135996,160,5,3,0,5
S00135997,114,4,0,0,0
S00135998,80,5,3,0,7
S00135999,84,12,2,2,0
S00136000,120,10,0,0,0
S00136001,66,5,0,0,0
S00136002,100,3,3,0,0
S00136003,51,9,2,0,2
S00136004,56,20,2,0,0
S00136005,145,1,0,0,0
S00136006,50,10,6,0,0
S00136007,114,46,6,0,4
S00136008,52,10,8,0,2
S00136009,109,0,3,0,1
S00136010,124,2,5,0,0
S00136011,114,4,1,0,2
S00136012,104,4,0,0,0
S00136013,77,4,0,0,6
S00136014,70,36,11,0,0
S00136015,98,2,7,0,2
S00136016,74,22,5,1,11
S00136017,120,6,9,0,6
S00136018,100,23,23,2,5
S00136019,683,65,78,5,19
S00136020,129,3,0,0,0
S00136021,45,9,9,0,0
S00136022,111,6,8,0,4
S00136023,57,7,0,0,1
S00136024,81,4,0,0,0
S00136025,108,6,0,0,0
S00136026,116,13,2,1,3
S00136027,65,5,2,0,1
S00136028,59,2,0,0,1
S00136029,66,12,8,2,2
S00136030,126,13,0,0,4
S00136031,101,5,5,1,5
S00136032,92,9,2,0,5
S00136033,91,36,9,0,5
S00136034,78,10,1,4,9
S00136035,97,15,10,2,6
S00136036,88,4,9,0,6
S00136037,75,5,18,0,0
S00136038,81,0,0,0,0
S00136039,68,7,3,0,1
S00136040,84,0,0,1,0
S00136041,121,24,5,0,0
S00136042,101,5,0,0,0
S00136043,87,0,0,0,2
S00136044,54,3,1,0,2
S00136045,138,3,2,2,0
S00136046,81,9,0,0,0
S00136047,92,30,8,0,0
S00136048,99,8,0,0,0
S00136049,92,33,4,1,10
S00136050,123,20,0,0,0
S00136051,110,0,0,0,0
S00136052,55,2,9,1,0
S00136053,85,4,2,0,0
S00136054,103,5,3,0,6
S00136055,116,0,8,1,2
S00136056,82,0,2,1,2
S00136057,81,31,11,0,1
S00136058,191,14,26,2,4
S00136059,82,0,1,0,0
S00136060,85,4,7,0,5
S00136061,290,42,50,3,16
S00136062,60,28,4,0,0
S00136063,97,3,1,0,0
S00136064,88,36,7,8,0
S00136065,79,15,0,3,5
S00136066,54,4,0,0,0
S00136067,50,15,4,0,0
S00136068,81,25,11,0,4
S00136069,115,16,1,0,2
S00136070,66,7,2,2,0
S00136071,140,27,22,0,10
S00136072,59,3,13,0,4
S00136073,86,7,8,0,0
S00136074,72,10,9,0,6
S00136075,84,6,2,2,5
S00136076,92,13,9,0,4
S00136077,81,7,5,0,0
S00136078,177,16,6,0,4
S00136079,46,10,0,4,3
S00136080,129,10,1,1,0
S00136081,63,9,2,0,7
S00136082,55,8,2,1,0
S00136083,85,6,6,0,5
S00136084,96,1,0,0,0
S00136085,84,1,0,0,1
S00136086,68,6,3,1,9
S00136087,87,1,7,0,3
S00136088,59,4,10,0,0
S00136089,137,7,5,0,4
S00136090,95,3,3,0,4
S00136091,134,6,0,0,0
S00136092,154,12,3,0,1
S00136093,86,20,1,4,5
S00136094,57,15,15,0,1
S00136095,55,0,7,0,0
S00136096,111,33,5,0,2
S00136097,114,3,34,0,5
S00136098,91,3,0,0,0
S00136099,143,3,0,0,1
S00136100,139,28,10,1,15
S00136101,87,13,3,0,1
S00136102,87,6,4,0,8
S00136103,86,1,0,0,4
S00136104,86,3,4,1,2
S00136105,104,25,12,0,4
S00136106,71,19,5,0,11
S00136107,84,11,20,0,3
S00136108,101,46,0,0,1
S00136109,113,0,0,0,0
S00136110,73,8,0,0,6
S00136111,88,14,4,0,2
S00136112,129,0,9,0,1
S00136113,85,0,0,0,0
S00136114,131,13,10,0,2
S00136115,91,24,10,0,0
S00136116,57,10,0,0,14
S00136117,80,9,6,0,3
S00136118,70,2,3,0,3
S00136119,78,8,0,0,0
S00136120,79,7,0,0,0
S00136121,102,11,4,0,2
S00136122,93,6,17,0,3
S00136123,130,10,5,0,2
S00136124,72,4,0,1,3
S00136125,99,0,0,0,0
S00136126,82,6,0,0,0
S00136127,146,2,0,0,0
S00136128,55,1,17,0,0
S00136129,79,13,0,0,6
S00136130,68,4,0,0,0
S00136131,70,7,0,0,1
S00136132,84,0,0,0,0
S00136133,105,7,0,0,0
S00136134,84,5,0,0,0
S00136135,71,6,1,1,0
S00136136,71,0,4,0,0
S00136137,93,0,0,0,1
S00136138,83,0,0,0,0
S00136139,82,0,0,0,0
S00136140,113,10,0,0,0
S00136141,56,11,1,0,0
S00136142,75,16,24,0,4
S00136143,60,2,0,0,2
S00136144,137,1,1,0,0
S00136145,165,39,71,2,12
S00136146,90,8,6,0,2
S00136147,55,10,4,0,0
S00136148,89,0,8,0,0
S00136149,78,4,0,0,0
S00136150,83,21,2,0,4
S00136151,74,0,0,0,0
S00136152,70,14,0,0,0
S00136153,60,6,5,0,2
S00136154,87,5,16,1,0
S00136155,103,4,0,1,5
S00136156,84,30,4,0,5
S00136157,49,6,3,0,0
S00136158,122,2,4,1,0
S00136159,86,4,0,0,0
S00136160,76,0,0,0,0
S00136161,92,15,0,0,0
S00136162,119,1,0,0,0
S00136163,70,0,0,0,0
S00136164,81,5,0,1,0
S00136165,57,2,0,0,0
S00136166,54,9,0,0,0
S00136167,83,0,0,0,0
S00136168,78,10,5,0,7
S00136169,61,5,0,0,0
S00136170,59,7,4,0,4
S00136171,55,8,3,0,0
S00136172,64,8,4,0,3
S00136173,62,2,1,1,0
S00136174,130,0,0,0,1
S00136175,75,5,0,0,0
S00136176,127,8,0,0,1
S00136177,92,5,0,0,0
S00136178,94,0,4,0,0
S00136179,87,0,2,0,1
S00136180,119,7,0,0,0
S00136181,44,8,4,0,0
S00136182,104,19,0,0,0
S00136183,116,4,0,0,0
S00136184,119,4,0,0,2
S00136185,65,12,7,0,10
S00136186,79,3,13,2,3
S00136187,94,1,5,0,0
S00136188,49,5,4,0,3
S00136189,69,12,9,0,1
S00136190,72,0,4,1,3
S00136191,60,17,26,0,4
S00136192,87,35,21,0,0
S00136193,93,15,9,2,4
S00136194,116,15,0,1,0
S00136195,299,31,34,2,8
S00136196,59,2,11,0,2
S00136197,100,0,11,0,0
S00136198,115,0,4,0,0
S00136199,49,5,10,0,0
S00136200,66,0,0,0,0
S00136201,78,8,3,0,2
S00136202,67,0,10,0,3
S00136203,95,5,0,0,0
S00136204,100,11,7,2,4
S00136205,71,2,1,0,2
S00136206,64,10,11,0,2
S00136207,54,3,9,0,1
S00136208,75,5,1,0,3
S00136209,94,4,0,0,1
S00136210,153,8,0,0,5
S00136211,67,5,3,0,5
S00136212,82,4,1,0,0
S00136213,67,7,1,0,0
S00136214,83,15,5,2,3
S00136215,84,8,4,0,0
S00136216,85,7,21,0,0
S00136217,119,13,0,0,6
S00136218,122,30,33,2,6
S00136219,62,6,4,0,0
