oa_code,one_person_household_aged_65_and_over,one_person_household_aged_under_65,one_family_only_all_aged_65_and_over,one_family_only_married_or_same_sex_civil_partnership_couple_no_children,one_family_only_married_or_same_sex_civil_partnership_couple_with_dependent_children,one_family_only_married_or_same_sex_civil_partnership_couple_all_children_non_dependent,one_family_only_cohabiting_couple_no_children,one_family_only_cohabiting_couple_with_dependent_children,one_family_only_cohabiting_couple_all_children_non_dependent,one_family_only_lone_parent_with_dependent_children,one_family_only_lone_parent_all_children_non_dependent,other_households_with_dependent_children,other_households_all_full_time_students,other_households_all_aged_65_and_over,other_households_other
S00095306,4,36,0,2,6,1,2,1,0,2,0,0,0,1,0
S00095307,2,9,1,9,7,4,3,4,1,2,3,0,0,0,0
S00095308,4,4,4,9,4,10,5,3,0,6,1,0,0,1,0
S00095309,7,13,5,6,5,2,2,7,1,6,1,0,1,0,1
S00095310,4,23,1,4,5,1,6,3,0,1,2,1,0,0,0
S00095311,6,21,2,7,7,2,6,0,0,3,1,1,2,0,1
S00095312,6,34,2,8,3,3,7,2,0,7,3,1,0,0,1
S00095313,9,27,1,5,5,0,6,1,1,11,3,2,0,0,3
S00095314,5,16,2,9,5,2,7,4,0,6,6,0,0,0,1
S00095315,3,6,6,16,8,3,1,0,0,0,2,0,0,0,1
S00095316,5,9,8,16,10,3,5,2,0,0,3,0,0,0,1
S00095317,10,22,6,13,4,4,3,1,0,0,1,0,0,0,1
S00095318,9,1,5,13,7,4,0,0,0,0,1,1,0,0,1
S00095319,2,1,3,13,3,1,1,0,0,0,1,0,0,0,1
S00095320,4,8,7,6,7,3,2,2,0,3,1,0,0,0,0
S00095321,1,5,5,15,8,3,1,0,0,0,0,1,1,0,0
S00095322,4,45,1,3,1,0,2,2,0,2,1,0,0,0,3
S00095323,7,11,4,3,8,4,4,1,0,5,2,0,0,0,0
S00095324,7,10,6,12,4,4,0,5,0,2,2,0,0,0,3
S00095325,10,7,6,8,3,3,0,0,2,4,3,0,1,0,2
S00095326,14,13,3,3,5,2,3,2,0,6,4,0,0,0,2
S00095327,17,13,2,4,4,0,3,2,0,4,3,1,0,0,1
S00095328,1,17,1,2,5,0,1,4,1,7,2,0,0,0,0
S00095329,12,9,3,5,3,3,3,2,1,8,4,0,0,0,1
S00095330,7,31,8,7,6,1,5,6,0,5,3,1,0,0,0
S00095331,12,19,6,7,7,3,1,9,1,5,5,0,0,0,0
S00095332,3,14,4,3,4,0,0,1,0,12,5,1,0,0,3
S00095333,5,6,2,7,6,2,4,4,0,2,4,0,0,1,1
S00095334,10,7,4,8,7,7,4,5,0,3,4,0,0,0,1
S00095335,14,40,1,8,5,0,2,2,0,4,1,2,1,0,2
S00095336,2,4,7,15,7,1,5,1,0,0,1,0,1,0,2
S00095337,6,13,3,15,4,3,4,4,0,6,1,0,15,0,0
S00095338,3,9,6,7,10,2,2,2,0,6,1,1,0,0,0
S00095339,0,4,2,11,8,2,0,2,0,2,2,0,0,0,1
S00095340,4,14,4,9,3,2,3,0,0,7,3,1,2,0,2
S00095341,5,20,4,5,10,2,3,8,0,11,3,3,0,0,2
S00095342,0,4,1,3,10,1,1,1,0,10,3,2,0,0,1
S00095343,6,7,2,2,9,1,2,5,0,7,0,0,0,0,1
S00095344,2,19,4,5,4,0,2,1,0,2,0,0,2,2,0
S00095345,37,12,5,1,11,4,0,1,0,1,0,0,0,0,1
S00095346,6,9,10,12,5,2,1,2,0,2,1,1,0,0,0
S00095347,5,27,0,1,1,0,3,3,1,8,3,1,1,0,1
S00095348,4,3,7,12,9,2,2,1,0,0,1,0,0,0,0
S00095349,15,13,1,1,4,4,4,6,0,6,1,0,1,0,0
S00095350,28,11,6,5,1,2,1,0,0,1,0,0,0,1,0
S00095351,1,13,4,7,10,5,1,3,0,0,2,1,0,0,2
S00095352,7,7,4,9,18,5,2,6,0,3,1,3,0,0,2
S00095353,10,30,1,7,5,0,2,4,0,2,1,0,5,0,2
S00095354,2,17,4,3,2,2,1,2,0,4,1,1,1,0,0
S00095355,13,25,2,6,5,2,6,3,1,9,5,2,1,0,1
S00095356,8,20,5,3,6,1,8,3,0,2,3,1,0,0,1
S00095357,10,14,1,4,2,1,3,1,0,3,2,0,0,0,1
S00095358,7,5,3,8,7,2,2,1,1,1,2,0,2,0,2
S00095359,16,3,7,7,2,3,2,2,0,3,1,0,1,0,1
S00095360,11,12,1,6,2,0,3,0,0,1,2,0,0,0,1
S00095361,17,8,8,6,6,0,1,1,0,3,2,0,0,0,0
S00095362,6,0,3,11,14,2,1,2,1,3,0,1,0,0,2
S00095363,5,6,3,11,10,3,2,1,0,4,2,0,0,0,2
S00095364,4,21,3,12,7,2,1,2,0,4,2,2,0,0,1
S00095365,6,7,1,8,5,4,3,2,0,2,0,0,0,0,2
S00095366,5,3,6,10,8,10,0,2,0,5,3,1,0,1,2
S00095367,3,5,4,7,15,2,1,5,0,4,0,0,0,0,0
S00095368,9,9,5,13,3,2,1,2,0,1,0,1,0,0,0
S00095369,6,22,0,8,18,3,1,11,0,5,0,0,0,0,2
S00095370,10,6,11,10,7,4,2,1,0,1,0,0,0,1,1
S00095371,14,13,7,11,13,2,2,4,1,1,2,0,0,0,1
S00095372,17,17,6,8,2,3,0,1,0,1,0,0,0,0,0
S00095373,15,4,18,19,9,2,2,1,0,3,2,0,1,1,0
S00095374,14,21,9,5,1,2,3,2,0,1,1,0,0,0,2
S00095375,25,27,6,4,1,1,2,3,0,6,0,0,0,0,1
S00095376,6,5,7,7,4,4,1,3,0,1,2,0,0,1,2
S00095377,11,9,7,12,5,2,2,1,0,7,4,1,0,1,1
S00095378,4,6,10,14,6,5,1,0,0,3,1,0,0,0,1
S00095379,11,10,9,12,8,2,0,2,0,2,2,1,0,0,4
S00095380,6,5,11,8,9,6,0,1,1,3,1,0,0,0,1
S00095381,5,5,9,10,10,7,2,0,0,1,2,1,0,0,1
S00095382,5,0,20,7,4,1,3,1,0,3,1,0,0,0,1
S00095383,3,4,8,8,11,5,0,3,0,2,2,0,0,1,0
S00095384,12,8,12,6,10,2,0,3,0,6,4,0,0,0,0
S00095385,12,3,9,9,4,6,1,1,2,3,2,0,0,1,0
S00095386,6,3,11,7,8,0,1,2,0,3,0,0,0,0,2
S00095387,9,6,4,10,6,12,3,10,0,5,5,0,0,1,0
S00095388,33,16,3,3,2,1,0,1,1,7,2,0,0,0,0
S00095389,3,11,3,12,11,7,2,2,1,5,0,0,0,0,1
S00095390,6,5,11,23,6,9,1,0,0,2,0,0,0,0,0
S00095391,34,20,3,0,0,0,1,0,0,0,1,0,0,0,0
S00095392,5,17,4,5,7,1,1,4,0,8,3,1,0,1,2
S00095393,16,5,4,6,11,5,4,3,0,1,4,0,0,0,0
S00095394,16,3,7,6,3,0,0,2,0,2,0,0,0,0,0
S00095395,6,14,5,3,3,0,8,0,0,2,0,0,0,0,2
S00095396,13,7,8,3,3,4,3,1,0,1,1,0,0,0,1
S00095397,8,3,15,13,10,3,1,0,0,3,1,0,0,0,0
S00095398,36,6,4,6,3,2,1,1,0,1,0,0,0,0,0
S00095399,14,12,7,8,6,2,4,5,0,9,4,1,0,0,1
S00095400,1,2,2,15,20,2,4,5,1,6,2,1,1,0,0
S00095401,6,3,5,9,2,1,3,0,0,1,0,0,0,0,1
S00095402,12,21,9,8,9,2,3,2,0,2,2,0,0,0,0
S00095403,14,23,5,9,6,1,6,2,0,2,1,1,0,1,0
S00095404,49,5,14,4,2,0,0,0,0,0,0,0,0,0,0
S00095405,4,7,16,14,19,3,4,1,0,0,3,0,0,0,0
S00095406,12,8,10,7,2,4,1,6,1,5,4,0,0,0,0
S00095407,10,21,7,6,6,3,2,2,0,3,0,0,0,0,0
S00095408,2,3,4,19,20,4,1,1,0,1,0,0,0,0,1
S00095409,6,10,7,9,9,4,1,5,0,4,6,2,0,0,1
S00095410,6,15,10,9,7,4,0,4,0,9,1,1,0,0,1
S00095411,7,7,7,10,11,4,0,2,0,3,2,1,0,0,1
S00095412,3,4,4,6,7,4,0,0,0,1,0,0,0,0,1
S00095413,4,6,10,11,5,3,4,0,1,3,0,2,0,0,0
S00095414,16,16,4,5,6,5,2,4,0,5,4,3,0,0,0
S00095415,8,14,4,14,4,2,2,0,0,1,1,0,0,0,0
S00095416,4,15,3,10,6,2,2,2,1,2,2,0,0,0,0
S00095417,9,10,3,10,6,4,3,3,0,4,1,1,0,0,0
S00095418,6,23,9,8,7,2,4,5,0,3,2,1,0,0,3
S00095419,7,23,5,4,5,4,1,6,1,5,2,2,0,0,2
S00095420,15,15,7,9,6,2,3,3,0,4,1,0,0,0,0
S00095421,9,22,2,2,3,1,4,2,1,3,1,0,0,0,0
S00095422,5,22,2,6,2,1,0,1,0,4,0,0,0,0,0
S00095423,6,15,1,11,8,2,4,4,0,6,5,1,0,0,5
S00095424,7,10,7,9,6,7,2,2,0,3,1,1,0,0,0
S00095425,8,3,3,12,8,3,1,0,0,2,2,1,0,0,1
S00095426,13,10,5,7,20,1,4,0,0,1,2,0,0,0,0
S00095427,10,8,3,5,14,2,4,4,1,7,3,0,2,0,1
S00095428,18,6,4,3,5,0,2,4,0,1,1,0,0,0,2
S00095429,17,5,6,2,0,2,2,2,0,3,0,0,0,0,0
S00095430,5,9,3,11,9,4,1,4,2,0,3,0,0,0,1
S00095431,13,11,9,13,5,2,1,2,0,0,3,0,0,0,0
S00095432,6,4,6,13,4,2,3,3,0,6,3,1,0,1,0
S00095433,11,13,6,9,7,6,0,4,0,12,3,0,0,0,2
S00095434,12,19,5,10,11,4,3,2,0,1,2,0,0,0,1
S00095435,7,5,4,8,4,1,1,0,0,0,2,0,0,0,1
S00095436,10,13,5,6,4,3,0,1,1,1,2,0,0,0,2
S00095437,4,9,5,4,8,4,4,1,0,1,1,1,0,1,1
S00095438,10,18,5,3,0,1,4,2,0,2,1,1,0,0,0
S00095439,5,13,0,3,2,1,2,2,0,4,1,0,0,0,1
S00095440,11,1,15,7,3,0,1,0,0,0,3,0,2,0,1
S00095441,37,1,10,2,4,0,2,0,0,1,0,0,0,1,0
S00095442,18,9,11,13,10,2,3,0,0,4,1,0,0,0,2
S00095443,2,4,15,11,12,4,4,0,0,1,1,0,0,0,0
S00095444,5,28,1,2,2,2,10,1,0,3,0,0,0,1,0
S00095445,11,14,7,7,5,2,3,0,0,2,0,0,0,0,0
S00095446,9,19,4,9,5,2,0,3,0,2,1,0,0,0,0
S00095447,5,4,1,5,4,1,1,1,2,0,1,0,0,0,0
S00095448,2,6,4,13,15,5,1,2,0,5,0,0,0,0,2
S00095449,10,6,7,17,8,4,2,1,0,1,3,0,0,0,0
S00095450,4,16,1,2,2,2,2,2,0,0,1,1,0,0,3
S00095451,16,22,1,8,0,1,5,1,1,2,1,0,0,0,1
S00095452,7,8,3,7,6,5,1,1,1,1,2,0,0,0,2
S00095453,5,22,1,3,2,0,4,0,0,2,0,0,0,0,0
S00095454,2,19,0,3,1,0,5,0,0,1,0,0,0,0,3
S00095455,9,8,2,6,5,2,3,0,0,0,1,0,0,0,1
S00095456,5,20,2,4,10,1,3,5,0,2,2,1,0,0,4
S00095457,13,6,4,9,11,1,1,2,0,1,1,0,0,0,2
S00095458,2,2,6,4,9,2,0,3,0,2,0,0,0,0,0
S00095459,6,7,3,6,12,5,2,6,0,7,2,0,0,0,3
S00095460,6,15,1,7,2,2,7,1,0,0,1,0,0,0,1
S00095461,5,1,10,9,11,6,1,0,1,4,1,0,0,0,0
S00095462,5,8,4,8,9,4,0,3,0,3,6,0,0,0,1
S00095463,9,7,4,10,14,6,0,1,0,2,4,1,0,0,1
S00095464,35,18,6,5,8,1,7,0,0,1,0,1,0,0,1
S00095465,11,15,1,5,5,2,4,2,0,2,0,0,1,0,0
S00095466,11,7,4,7,15,2,0,5,0,3,7,0,0,0,2
S00095467,8,16,1,3,9,2,6,11,1,9,3,2,0,0,1
S00095468,8,13,8,8,12,3,4,3,1,4,4,0,0,0,0
S00095469,11,16,0,3,1,1,6,2,0,4,1,0,0,0,2
S00095470,10,21,2,4,5,1,5,1,0,2,0,2,0,0,0
S00095471,9,12,0,2,4,3,2,3,0,12,7,1,0,1,0
S00095472,12,1,10,9,4,4,0,0,0,0,0,0,0,0,0
S00095473,11,2,14,15,18,3,1,1,0,0,2,0,0,0,0
S00095474,3,0,5,9,2,2,1,0,0,1,1,0,0,0,0
S00095475,8,1,9,8,4,3,0,4,0,0,0,0,0,0,0
S00095476,11,10,4,8,8,6,4,0,0,2,1,0,0,0,0
S00095477,4,5,9,11,11,3,1,0,0,1,0,0,0,0,0
S00095478,8,6,14,4,7,6,1,2,0,1,3,0,0,0,0
S00095479,10,4,3,3,10,5,3,2,0,3,3,1,0,0,0
S00095480,7,2,5,10,13,0,3,1,0,0,2,0,0,0,0
S00095481,23,12,7,10,3,6,1,3,0,3,2,0,0,0,2
S00095482,20,6,7,6,7,5,1,2,0,7,3,0,0,1,0
S00095483,8,12,6,5,5,3,0,2,0,6,4,0,0,0,3
S00095484,4,12,5,13,10,4,3,2,1,2,3,0,0,0,0
S00095485,8,7,2,5,5,3,2,3,0,1,2,0,0,0,1
S00095486,12,10,12,7,7,4,0,1,0,0,1,0,0,0,1
S00095487,10,5,4,7,11,5,2,2,0,11,4,0,0,0,1
S00095488,7,9,9,17,6,4,1,2,0,3,2,0,0,0,1
S00095489,8,11,7,8,8,6,1,5,0,7,3,1,0,0,3
S00095490,8,5,7,8,7,1,3,5,0,3,6,0,0,0,0
S00095491,3,6,10,19,10,5,1,0,0,2,3,1,0,0,2
S00095492,13,6,12,13,2,5,3,5,0,1,1,0,0,1,1
S00095493,9,17,4,10,5,0,3,1,0,1,3,2,0,1,0
S00095494,13,7,15,8,5,4,4,4,0,8,2,2,0,0,1
S00095495,12,8,8,7,1,1,1,1,0,4,3,0,0,0,1
S00095496,8,6,6,8,14,6,5,3,1,7,5,5,0,1,1
S00095497,4,9,6,10,18,5,1,8,0,12,7,1,0,0,0
S00095498,5,6,2,4,4,0,3,2,1,4,0,0,0,0,0
S00095499,12,13,9,3,2,2,4,1,0,1,2,1,1,0,1
S00095500,24,4,16,13,3,2,3,0,1,0,0,0,0,1,0
S00095501,13,1,1,7,3,4,1,0,0,0,3,1,0,0,0
S00095502,11,14,4,7,2,7,4,3,0,0,1,0,0,0,1
S00095503,8,11,5,14,3,0,1,1,0,1,0,1,0,0,0
S00095504,2,13,2,5,2,2,0,2,1,3,0,1,0,0,3
S00095505,9,7,8,3,9,3,2,2,2,0,0,1,0,0,1
S00095506,9,15,2,6,11,4,2,4,0,5,0,0,0,0,0
S00095507,12,10,3,11,8,4,1,5,0,4,0,0,0,0,0
S00095508,3,6,5,20,12,3,4,4,0,6,4,1,0,0,1
S00095509,5,0,3,11,10,5,1,1,0,0,0,0,0,0,2
S00095510,8,7,6,9,10,3,2,1,0,0,3,0,0,0,0
S00095511,8,9,7,12,10,5,1,5,0,7,1,2,0,0,2
S00095512,10,13,5,6,6,2,1,2,1,0,1,0,0,1,2
S00095513,14,15,4,4,5,0,3,1,0,3,1,0,0,0,0
S00095514,8,14,7,8,7,4,2,1,0,2,1,0,0,1,4
S00095515,6,5,6,10,8,3,0,1,0,0,1,1,0,0,0
S00095516,9,3,9,9,12,9,1,3,0,2,1,0,0,0,0
S00095517,4,18,2,9,12,2,8,3,0,2,2,0,0,0,1
S00095518,20,14,8,13,8,3,3,2,0,2,2,0,0,0,0
S00095519,7,8,3,7,7,4,2,0,0,3,1,0,0,0,1
S00095520,3,14,1,13,11,4,4,3,0,4,4,0,0,0,0
S00095521,8,8,6,9,17,4,3,1,0,2,0,0,0,0,0
S00095522,27,12,3,4,1,1,1,1,0,0,0,0,0,0,0
S00095523,13,9,6,8,8,2,0,2,0,4,2,1,0,0,0
S00095524,14,11,7,7,13,3,5,1,0,3,2,1,0,0,0
S00095525,8,6,5,14,8,2,1,5,0,3,1,2,0,1,0
S00095526,11,3,11,19,21,4,1,2,0,1,1,1,0,0,2
S00095527,11,11,1,11,9,5,4,2,0,3,2,0,0,0,2
S00095528,12,14,7,5,6,2,1,1,0,7,0,0,0,0,1
S00095529,36,3,4,0,0,1,0,0,0,0,0,0,0,0,0
S00095530,5,15,4,11,8,3,1,2,1,6,4,1,0,0,2
S00095531,23,9,10,5,4,4,0,2,0,1,6,0,0,0,2
S00095532,5,3,5,4,9,3,3,5,1,3,2,0,0,0,0
S00095533,16,18,4,7,3,0,3,3,0,0,2,1,0,0,0
S00095534,2,11,7,6,4,2,2,1,0,4,3,0,0,0,3
S00095535,12,15,11,7,10,9,0,2,0,2,0,1,0,0,1
S00095536,15,15,5,6,2,2,3,2,0,5,0,0,0,0,0
S00095537,4,8,7,9,8,1,1,1,0,3,1,0,0,0,0
S00095538,16,16,8,4,3,0,0,2,1,3,3,1,0,1,2
S00095539,11,20,5,8,5,3,1,6,1,4,1,2,0,0,1
S00095540,3,5,3,4,5,1,1,1,0,1,0,1,0,0,1
S00095541,2,6,5,4,2,1,1,2,0,3,0,1,0,0,0
S00095542,14,7,6,6,9,5,1,1,0,2,1,0,0,0,1
S00095543,4,5,5,7,14,9,1,3,1,1,4,0,0,0,3
S00095544,4,1,9,8,6,1,0,4,0,2,4,1,0,0,0
S00095545,8,4,5,9,11,4,2,2,1,2,3,0,0,0,0
S00095546,3,5,8,7,12,10,2,4,0,5,2,0,0,0,1
S00095547,6,4,5,5,20,6,2,2,0,6,0,0,0,0,0
S00095548,0,4,1,1,6,2,1,1,0,2,0,3,0,0,1
S00095549,9,7,4,7,6,1,1,7,0,5,1,2,0,1,2
S00095550,7,7,8,9,11,5,0,5,0,6,1,0,0,1,0
S00095551,10,3,5,6,11,6,2,3,0,3,2,1,0,0,1
S00095552,14,3,5,6,10,4,2,2,1,2,0,1,0,0,1
S00095553,11,7,14,11,2,0,2,0,0,1,2,0,0,0,0
S00095554,7,10,9,12,6,2,3,0,0,2,3,1,0,0,1
S00095555,6,6,3,7,7,0,2,2,0,3,1,0,0,0,2
S00095556,11,7,7,11,7,2,4,0,2,3,4,1,0,0,0
S00095557,9,6,11,7,8,1,1,6,0,0,2,0,0,1,1
S00095558,2,2,4,8,2,6,3,1,0,2,1,0,0,0,1
S00095559,9,5,11,8,4,6,3,0,0,3,1,0,0,0,0
S00095560,9,11,1,10,7,4,4,0,0,1,3,0,0,0,1
S00095561,8,4,5,7,2,0,1,1,0,1,0,0,0,0,0
S00095562,14,4,4,2,5,1,1,1,0,2,3,1,0,0,0
S00095563,11,14,6,7,3,1,6,5,0,5,2,3,0,0,3
S00095564,10,6,13,17,14,4,2,4,0,2,2,1,0,0,0
S00095565,5,19,3,15,10,4,2,8,0,7,2,2,0,1,2
S00095566,8,12,3,11,6,5,2,12,0,8,2,1,0,0,0
S00095567,8,6,4,16,9,8,4,3,1,1,0,2,0,0,1
S00095568,6,10,3,12,7,6,9,5,1,3,1,2,0,0,1
S00095569,18,17,5,6,7,5,3,1,0,8,3,1,0,0,1
S00095570,7,6,16,17,5,2,0,2,0,0,1,0,0,0,1
S00095571,15,14,6,6,3,2,6,1,0,2,1,1,0,0,3
S00095572,15,18,7,10,2,2,5,2,0,5,3,0,0,0,0
S00095573,8,16,4,9,2,0,2,1,0,6,3,0,0,0,0
S00095574,9,8,3,13,3,3,0,2,0,4,2,0,0,0,0
S00095575,5,4,8,10,4,6,2,1,0,4,1,2,0,0,0
S00095576,7,24,5,3,1,2,4,3,1,1,2,0,3,0,1
S00095577,34,24,5,3,0,0,1,0,0,0,2,0,0,0,1
S00095578,8,19,2,2,2,2,0,0,0,1,2,0,0,0,2
S00095579,6,10,2,10,7,3,3,1,0,3,0,2,0,0,0
S00095580,9,2,3,9,3,2,3,1,1,3,3,3,0,0,3
S00095581,15,7,7,9,8,2,0,4,0,3,1,0,0,0,3
S00095582,10,4,5,3,1,1,2,3,0,6,2,0,0,0,0
S00095583,6,8,8,8,9,2,0,1,0,8,1,2,0,1,0
S00095584,6,5,2,6,7,2,2,2,0,2,4,0,0,0,0
S00095585,8,6,9,9,5,10,1,2,0,3,6,3,0,0,0
S00095586,3,17,1,6,14,3,2,8,1,9,4,2,0,0,0
S00095587,7,4,5,8,4,1,3,3,0,1,2,1,0,0,0
S00095588,9,3,2,4,6,3,0,1,1,0,2,0,0,1,1
S00095589,14,12,11,11,5,4,2,2,1,3,2,0,0,0,1
S00095590,13,3,2,9,3,1,0,1,0,2,3,1,0,0,3
S00095591,6,2,4,8,7,2,0,1,0,1,3,0,0,0,2
S00095592,8,12,7,7,3,3,2,1,0,3,3,0,0,0,0
S00095593,4,1,7,13,19,1,1,2,0,1,0,1,0,0,0
S00095594,3,1,4,6,11,1,0,1,0,0,1,1,0,0,1
S00095595,8,1,2,9,14,4,2,1,0,3,2,0,0,0,0
S00095596,3,0,4,5,17,3,0,0,0,3,0,0,0,0,0
S00095597,12,5,4,7,10,1,0,0,0,2,0,0,0,0,0
S00095598,8,28,5,6,5,2,0,0,0,0,1,0,0,0,0
S00095599,8,18,2,7,5,2,2,1,0,5,4,0,0,1,0
S00095600,5,5,1,10,4,6,1,3,1,1,2,3,0,0,0
S00095601,25,3,1,8,2,1,1,3,0,1,1,0,0,0,0
S00095602,3,4,7,8,8,7,1,6,0,4,2,0,0,0,0
S00095603,12,5,11,3,6,5,1,1,0,1,0,1,0,0,0
S00095604,2,10,8,4,13,3,2,2,0,1,1,0,0,0,0
S00095605,1,3,1,13,12,6,5,2,0,0,1,2,0,0,1
S00095606,0,8,3,4,6,2,6,0,0,2,0,0,0,0,0
S00095607,5,4,8,11,8,0,1,2,0,0,0,1,0,0,3
S00095608,8,9,6,16,14,1,11,1,0,0,0,1,0,0,0
S00095609,6,7,3,4,11,1,0,1,0,1,0,1,0,0,0
S00095610,11,10,8,17,9,4,2,2,0,2,0,0,0,0,7
S00095611,2,12,7,13,17,0,3,1,1,3,1,0,0,0,3
S00095612,8,21,3,8,3,0,8,2,0,5,0,1,0,0,5
S00095613,6,13,6,8,6,4,4,0,0,2,0,0,0,0,0
S00095614,2,14,5,9,10,5,1,1,0,0,0,0,0,0,1
S00095615,11,8,12,14,11,4,0,6,1,1,2,1,0,0,1
S00095616,9,3,7,15,7,3,3,2,0,1,1,0,0,0,3
S00095617,1,10,1,8,4,0,7,1,0,5,1,1,0,0,0
S00095618,3,2,7,13,9,2,0,1,0,0,1,0,0,0,1
S00095619,6,7,4,15,11,2,4,2,0,1,1,0,0,0,0
S00095620,2,6,6,11,6,0,0,0,0,1,1,0,0,0,0
S00095621,6,10,4,9,6,2,3,3,0,0,0,0,0,0,1
S00095622,0,8,3,10,5,5,1,0,0,3,1,0,0,0,1
S00095623,1,7,4,12,5,5,1,1,0,0,1,0,0,0,1
S00095624,3,3,3,6,14,3,3,1,0,0,0,0,0,0,0
S00095625,3,11,3,15,6,1,1,1,0,0,0,0,0,0,0
S00095626,1,11,1,5,9,2,2,2,0,1,1,0,0,0,1
S00095627,8,4,7,3,4,1,0,1,0,0,0,0,0,0,0
S00095628,2,6,8,5,1,6,0,1,0,2,3,0,0,1,0
S00095629,10,7,5,3,8,5,0,3,1,7,1,1,0,0,0
S00095630,10,17,9,7,5,4,4,1,0,2,0,0,0,0,1
S00095631,9,1,5,4,1,0,0,4,0,1,2,0,0,0,1
S00095632,7,8,6,6,8,1,1,1,0,0,2,2,0,0,0
S00095633,3,7,5,9,2,1,2,1,0,0,0,0,0,0,1
S00095634,2,3,6,6,3,1,3,1,0,2,1,0,0,0,0
S00095635,4,30,4,3,0,1,6,1,2,3,1,0,0,0,1
S00095636,6,2,2,2,8,0,2,3,0,0,1,1,0,0,1
S00095637,11,12,2,4,3,2,1,0,0,2,2,0,0,0,0
S00095638,1,4,4,13,25,4,5,1,0,3,1,0,0,0,0
S00095639,7,3,18,4,3,4,0,0,1,0,2,0,0,0,1
S00095640,1,11,3,5,4,3,0,2,1,0,2,0,0,0,2
S00095641,1,8,1,10,9,4,3,1,2,4,1,0,0,0,1
S00095642,10,7,8,15,4,2,0,0,0,0,2,0,0,0,1
S00095643,15,6,2,3,3,0,2,2,0,4,3,0,0,0,0
S00095644,4,3,4,5,4,4,1,0,0,1,1,0,0,0,2
S00095645,4,1,6,7,8,2,2,1,1,5,2,0,0,0,0
S00095646,8,10,1,11,3,1,4,0,1,0,0,0,0,0,0
S00095647,0,13,2,13,20,5,3,2,2,3,2,0,0,0,1
S00095648,10,9,10,17,6,1,2,3,2,2,3,0,0,0,0
S00095649,1,3,5,8,3,2,0,4,1,5,1,0,0,0,0
S00095650,4,3,4,1,8,1,1,1,0,1,1,0,0,1,0
S00095651,2,4,2,17,11,4,3,6,0,1,0,2,0,0,0
S00095652,3,21,3,5,2,2,3,1,0,4,0,0,1,0,2
S00095653,4,19,2,7,2,4,7,4,0,1,1,0,0,0,1
S00095654,10,7,4,15,12,5,0,2,0,0,1,0,0,0,0
S00095655,0,0,1,4,16,3,0,3,0,0,1,0,0,0,0
S00095656,21,2,8,10,2,3,0,1,0,0,2,0,0,1,0
S00095657,2,10,0,6,6,2,4,5,1,3,0,0,0,0,1
S00095658,7,20,1,1,0,0,1,1,0,1,1,0,3,0,1
S00095659,16,5,9,5,7,2,0,0,0,0,0,0,0,0,0
S00095660,49,4,18,4,0,0,0,0,0,0,2,0,0,0,0
S00095661,12,10,4,8,11,8,0,0,0,2,0,0,0,0,0
S00095662,3,4,4,8,11,5,3,2,1,0,1,0,0,0,0
S00095663,7,8,5,8,5,5,2,3,0,2,1,3,0,0,0
S00095664,15,33,6,4,2,1,2,0,1,0,0,1,0,0,1
S00095665,5,17,3,0,2,1,2,2,0,2,0,0,0,0,2
S00095666,3,5,5,5,6,1,0,0,0,1,0,1,0,1,1
S00095667,5,6,1,13,3,1,3,0,0,0,2,0,0,0,0
S00095668,9,4,14,8,10,4,3,2,0,0,0,0,0,0,0
S00095669,3,6,6,12,7,2,3,1,0,1,1,0,0,0,0
S00095670,8,4,4,9,5,4,1,4,1,3,2,2,0,0,0
S00095671,6,1,3,6,4,6,1,2,0,3,3,1,0,0,1
S00095672,9,4,5,11,8,6,1,0,0,2,3,2,0,0,1
S00095673,7,9,6,6,8,2,4,5,0,3,1,0,0,0,0
S00095674,5,11,5,5,9,1,3,0,1,2,3,0,0,1,0
S00095675,4,11,6,5,6,1,2,2,1,5,0,0,0,0,0
S00095676,33,3,2,3,3,2,0,0,0,0,1,0,0,0,1
S00095677,21,5,3,3,1,0,1,1,0,1,4,0,0,2,2
S00095678,0,0,5,8,31,3,1,2,0,0,0,0,0,0,0
S00095679,3,5,13,7,16,4,1,2,0,2,0,0,0,0,0
S00095680,11,29,6,6,4,3,0,2,0,3,0,0,0,0,0
S00095681,36,11,0,1,2,1,1,0,0,1,1,0,0,1,0
S00095682,4,2,2,5,5,3,1,3,0,2,0,1,0,0,0
S00095683,9,5,2,5,7,1,1,4,0,3,1,0,0,0,0
S00095684,22,5,4,4,3,5,1,2,0,4,1,0,0,0,1
S00095685,5,2,3,7,4,0,1,2,0,5,1,0,0,1,0
S00095686,13,16,5,4,4,2,0,4,1,5,4,1,0,0,0
S00095687,6,22,5,3,2,2,2,2,0,1,1,0,0,0,0
S00095688,1,6,0,8,9,2,1,5,1,6,2,0,0,0,0
S00095689,5,3,4,3,2,1,0,1,0,6,1,0,0,0,1
S00095690,6,23,1,4,3,0,2,2,0,10,2,2,0,0,1
S00095691,7,22,6,5,2,0,3,4,0,10,6,0,0,1,1
S00095692,2,9,2,1,3,0,2,5,0,9,1,1,0,0,0
S00095693,8,9,9,10,14,6,3,3,0,7,2,0,0,0,0
S00095694,7,6,4,9,5,7,2,1,0,0,3,1,0,0,2
S00095695,16,23,1,4,2,0,1,1,0,7,3,0,0,0,0
S00095696,12,8,0,4,2,0,1,1,0,2,4,0,0,0,2
