oa_code,church_of_scotland,roman_catholic,other_christian,buddhist,hindu,jewish,muslim,sikh,other_religion,no_religion,religion_not_stated
S00089072,10,25,22,0,0,0,0,0,0,51,5
S00089073,17,10,6,0,2,1,0,0,0,51,7
S00089074,16,23,12,1,3,0,3,0,0,76,11
S00089075,5,39,12,0,0,0,1,0,1,22,7
S00089076,26,14,7,0,0,0,2,0,0,61,3
S00089077,16,21,1,0,0,0,0,0,1,39,12
S00089078,12,7,1,0,0,0,0,0,0,24,8
S00089079,12,8,5,0,0,0,0,0,0,33,3
S00089080,9,18,0,0,0,0,6,0,0,61,6
S00089081,20,7,1,0,0,0,0,0,1,37,8
S00089082,15,17,3,0,0,0,0,0,2,45,0
S00089083,17,9,0,0,0,1,0,0,0,80,13
S00089084,35,1,6,0,0,0,0,0,0,52,6
S00089085,22,11,2,0,0,0,0,0,0,70,16
S00089086,33,2,1,0,0,0,1,0,0,59,4
S00089087,35,12,8,0,0,3,0,0,1,68,14
S00089088,17,17,2,0,0,0,0,0,0,56,1
S00089089,12,11,2,0,0,0,0,0,1,72,12
S00089090,15,7,11,0,0,0,0,0,0,82,11
S00089091,15,10,0,2,0,0,5,0,0,112,6
S00089092,14,16,4,0,3,0,1,0,0,129,4
S00089093,23,28,3,1,0,0,5,0,0,101,5
S00089094,13,21,0,0,0,0,0,0,0,54,2
S00089095,17,19,7,0,0,0,0,0,0,72,4
S00089096,9,16,3,0,1,0,0,0,0,61,7
S00089097,8,7,4,0,0,0,0,0,0,54,10
S00089098,6,14,3,0,0,0,0,0,0,48,11
S00089099,6,14,9,0,0,0,3,1,0,79,8
S00089100,31,11,6,0,0,0,0,0,0,42,11
S00089101,5,9,8,0,1,0,0,0,0,49,3
S00089102,6,27,3,1,1,0,1,0,0,42,5
S00089103,15,24,3,0,0,0,0,0,0,40,7
S00089104,17,5,3,0,0,0,0,0,0,39,3
S00089105,22,7,1,0,0,0,0,0,1,58,7
S00089106,19,10,4,0,0,0,3,0,0,47,6
S00089107,21,11,2,0,1,0,0,0,0,42,5
S00089108,16,11,5,0,0,0,0,0,0,56,4
