oa_code	african_carribbean_black	asian	mixed	other	white
S00089167	2	0	0	0	212
S00089168	0	0	0	0	128
S00089169	0	10	0	0	224
S00089170	8	8	0	0	164
S00089171	6	0	1	2	138
S00089172	0	0	0	0	128
S00089173	10	0	0	0	268
S00089174	6	0	0	0	316
S00089175	0	0	1	0	246
S00089176	2	0	0	0	202
S00089177	0	0	0	0	258
S00089178	0	2	2	0	292
S00089179	0	8	3	2	328
S00089180	0	0	0	0	268
S00089181	0	0	0	0	202
S00089182	0	0	1	0	226
S00089183	0	2	0	0	194
S00089184	0	0	0	0	274
S00089185	0	2	3	0	264
S00089186	10	14	1	0	202
S00089187	0	30	0	0	104
S00089188	4	14	1	0	272
S00089189	2	2	1	0	298
S00089190	0	18	0	2	206
S00089191	12	38	0	6	218
S00089192	12	24	4	14	164
S00089193	2	36	1	16	208
S00089194	0	4	0	4	298
S00089195	0	4	2	0	262
S00089196	0	0	0	0	238
S00089197	2	10	0	2	218
S00089198	2	6	0	0	158
S00089199	0	6	0	0	194
S00089200	0	4	5	0	124
S00089201	8	2	2	0	182
S00089202	4	0	0	0	300
S00089203	2	24	1	2	398
S00089204	0	2	1	2	292
S00089205	2	16	1	0	214
S00089206	4	20	0	0	220
S00089207	0	4	0	2	194
S00089208	4	14	0	0	134
S00089209	0	18	2	4	120
S00089210	6	22	1	0	122
S00089211	14	12	0	2	114
S00089212	2	18	2	0	188
S00089213	2	12	1	0	120
S00089214	0	2	0	0	120
S00089215	6	28	0	4	96
S00089216	12	14	3	2	160
S00089217	16	24	1	4	112
S00089218	16	10	1	2	222
S00089219	2	14	0	0	152
S00089220	6	16	0	0	98
S00089221	2	32	4	0	250
S00089222	14	12	0	0	152
S00089223	2	10	0	0	128
S00089224	6	18	0	6	352
S00089225	10	8	1	2	94
S00089226	6	6	0	0	102
S00089227	6	0	0	0	250
S00089228	4	2	0	4	180
S00089229	4	8	2	0	178
S00089230	2	4	0	0	194
S00089231	2	28	0	0	144
S00089232	0	16	1	0	168
S00089233	0	0	2	0	156
S00089234	0	2	1	0	190
S00089235	0	18	1	8	180
S00089236	0	16	0	0	146
S00089237	0	2	2	2	226
S00089238	0	4	0	0	266
S00089239	0	2	1	0	192
S00089240	0	0	1	0	356
S00089241	2	0	0	0	128
S00089242	2	0	0	2	242
S00089243	0	0	0	2	228
S00089244	2	0	0	0	232
S00089245	0	0	0	0	168
S00089246	0	0	0	0	190
S00089247	12	10	2	0	306
S00089248	2	36	1	0	370
S00089249	2	2	0	2	204
S00089250	0	4	0	2	170
S00089251	0	4	0	0	208
S00089252	0	0	0	0	236
S00089253	0	8	0	0	250
S00089254	0	20	2	4	246
S00089255	0	22	1	2	212
S00089256	0	8	0	0	210
S00089257	2	2	0	0	190
S00089258	8	12	0	0	180
S00089259	2	12	0	0	154
S00089260	0	4	0	0	268
S00089261	0	8	1	0	306
S00089262	6	12	1	0	196
S00089263	6	12	0	0	166
S00089264	10	24	2	0	240
S00089265	0	2	2	2	160
S00089266	4	12	0	0	184
S00089267	8	0	0	0	150
S00089268	20	24	0	2	180
S00089269	2	8	0	0	192
S00089270	6	2	0	0	232
S00089271	0	2	4	0	170
S00089272	2	0	1	0	134
S00089273	16	2	0	2	182
S00089274	0	14	2	2	238
S00089275	0	0	0	0	128
S00089276	12	8	1	0	96
S00089277	0	2	0	0	352
S00089278	0	0	0	0	132
S00089279	8	0	0	0	126
S00089280	0	0	1	0	116
S00089281	6	8	0	0	136
S00089282	0	0	0	0	138
S00089283	2	4	0	0	102
S00089284	0	0	0	0	210
S00089285	6	14	0	0	236
S00089286	16	22	0	0	174
S00089287	0	0	0	0	174
S00089288	14	40	2	0	244
S00089289	8	0	2	0	236
S00089290	2	0	4	0	128
S00089291	12	6	0	0	180
S00089292	2	4	0	0	174
S00089293	20	16	0	0	270
S00089294	52	34	0	0	210
S00089295	4	0	3	0	370
S00089296	0	2	0	0	320
S00089297	26	2	1	0	156
S00089298	4	2	0	0	190
S00089299	0	0	0	0	128
S00089300	0	4	2	10	180
S00089301	10	0	2	10	208
S00089302	12	0	0	0	196
S00089303	22	26	3	0	280
S00089304	0	24	0	0	294
S00089305	6	0	0	0	136
S00089306	8	0	0	2	272
S00089307	0	10	0	0	166
S00089308	8	12	0	0	134
S00089309	6	18	0	0	272
S00089310	4	8	4	0	322
S00089311	0	6	0	0	196
S00089312	0	22	0	0	306
S00089313	12	0	0	0	288
S00089314	20	22	1	0	206
S00089315	2	2	0	0	212
S00089316	0	18	4	0	186
S00089317	0	6	0	0	182
S00089318	20	24	1	0	168
S00089319	2	0	0	0	266
S00089320	0	0	0	0	250
S00089321	0	8	0	0	162
S00089322	0	0	0	0	248
S00089323	0	0	0	4	162
S00089324	0	6	0	0	182
S00089325	2	20	0	0	182
S00089326	2	12	0	0	246
S00089327	0	4	1	0	210
S00089328	0	4	0	0	218
S00089329	0	2	0	0	188
S00089330	6	10	3	8	272
S00089331	2	0	2	0	330
